base_k,weight_function,weight_name,weight_params,train_accuracy,test_accuracy,train_logloss,test_logloss,train_brier,test_brier
30,sqrt,Square Root,{},0.44084836799338933,0.4942871336313959,1.0940926899893297,1.0661784150984823,0.6562334316505617,0.6342640405188702
15,fixed,Fixed,{},0.4427764770692742,0.4932935916542474,1.0883279364112133,1.0605654122685197,0.6528563272436864,0.631500439725666
20,exponential,Exponential,{},0.43988431345544693,0.4930452061599603,1.0905482159876814,1.0626443577451308,0.6541252781782172,0.6323638984513446
15,exponential,Exponential,{},0.44525547445255476,0.49279682066567315,1.0875938470006496,1.0604831891627458,0.6525183763948627,0.6312980380995946
20,sigmoid,"Sigmoid (steep=0.01, mid=150)","{'steepness': 0.01, 'midpoint': 150}",0.44167470045448287,0.49279682066567315,1.0901948087174453,1.0620438848446767,0.653913649945273,0.6322191482375908
20,sigmoid,"Sigmoid (steep=0.005, mid=200)","{'steepness': 0.005, 'midpoint': 200}",0.44084836799338933,0.49254843517138597,1.0896958448535454,1.0616230773761963,0.6536317889291291,0.6320469408779853
15,polynomial,Polynomial (power=1.5),{'power': 1.5},0.44511775237570583,0.49254843517138597,1.0881800712309735,1.060714945639713,0.6527715647778418,0.6313965145102016
25,exponential,Exponential,{},0.43878253684065555,0.49230004967709884,1.0935516692222744,1.0651078674457528,0.6558970353045019,0.6337833065553947
15,polynomial,Polynomial (power=2),{'power': 2},0.4442914199146123,0.4918032786885246,1.0883129400162386,1.0606798853552863,0.6528387576516861,0.6314189345522913
20,linear,Linear (max_diff=300),{'max_diff': 300},0.439746591378598,0.4918032786885246,1.0911244149738877,1.062888401753083,0.6544546655676458,0.6326510800495743
25,sqrt,Square Root,{},0.44318964329982097,0.49155489319423745,1.091559840840931,1.0639968875670307,0.6547421049693907,0.633072528191256
15,linear,Linear (max_diff=300),{'max_diff': 300},0.4455309186062526,0.49155489319423745,1.0879145967444799,1.060455413798148,0.6526275949865283,0.6312804703758748
20,sqrt,Square Root,{},0.44250103291557635,0.4913065076999503,1.0890262670135877,1.0617509441851318,0.6533561359880308,0.6319206187452867
15,sigmoid,"Sigmoid (steep=0.01, mid=150)","{'steepness': 0.01, 'midpoint': 150}",0.4469081393747418,0.4913065076999503,1.087208329203603,1.0598752443317607,0.6522433231778241,0.6310169128166193
15,linear,Linear (max_diff=500),{'max_diff': 500},0.44470458614515906,0.4910581222056632,1.088042053954912,1.0604029113524247,0.652690831750262,0.6313046342617306
15,polynomial,Polynomial (power=3),{'power': 3},0.44236331083872743,0.4910581222056632,1.0883658154662323,1.0606478348287698,0.6528702711594903,0.6314683339870772
15,linear,Linear (max_diff=400),{'max_diff': 400},0.4455309186062526,0.49080973671137607,1.0879821943623855,1.0604100580357543,0.6526596166171522,0.6312866679378305
15,sigmoid,"Sigmoid (steep=0.01, mid=200)","{'steepness': 0.01, 'midpoint': 200}",0.4455309186062526,0.49056135121708894,1.0875779858769647,1.0600957930330106,0.6524374252153914,0.6311395585156856
20,polynomial,Polynomial (power=3),{'power': 3},0.4396088693017491,0.49056135121708894,1.0918042942229864,1.0633924344602284,0.654901551683106,0.6331359596094516
10,fixed,Fixed,{},0.44470458614515906,0.49056135121708894,1.0851048880492076,1.058371007858259,0.6511913479520793,0.6304417603733216
20,sigmoid,"Sigmoid (steep=0.01, mid=200)","{'steepness': 0.01, 'midpoint': 200}",0.4390579809943534,0.4903129657228018,1.090699384749657,1.0624454442107025,0.6542193474734317,0.6324950159092543
10,polynomial,Polynomial (power=3),{'power': 3},0.444842308222008,0.4903129657228018,1.0851390787289112,1.0584422455001816,0.6512151452415529,0.630463259783102
10,linear,Linear (max_diff=300),{'max_diff': 300},0.4420878666850296,0.4903129657228018,1.0849353659023873,1.0584581298413092,0.6511752147609783,0.630558236956681
25,polynomial,Polynomial (power=1.5),{'power': 1.5},0.43520176284258366,0.4903129657228018,1.0949128662108376,1.0661742095797822,0.6567758230292173,0.6346239577734231
30,exponential,Exponential,{},0.4375430381490153,0.4903129657228018,1.096661435291616,1.0677089180498216,0.6578106395887361,0.635387401559642
15,sqrt,Square Root,{},0.4444291419914612,0.4900645802285147,1.0865827019158094,1.0599218284642526,0.6521326223025656,0.6312764241692258
20,linear,Linear (max_diff=400),{'max_diff': 400},0.4386448147638066,0.4898161947342275,1.0912234331182131,1.0628817809931408,0.6545259366061114,0.63272558494716
20,polynomial,Polynomial (power=1.5),{'power': 1.5},0.4390579809943534,0.4898161947342275,1.0915116596967047,1.0632940029943496,0.6546855004362732,0.6328492833185293
15,sigmoid,"Sigmoid (steep=0.005, mid=200)","{'steepness': 0.005, 'midpoint': 200}",0.44677041729789285,0.48956780923994037,1.086831100936645,1.0595410124885818,0.6520408578024183,0.6308846856308261
20,linear,Linear (max_diff=500),{'max_diff': 500},0.4390579809943534,0.48956780923994037,1.0913085285755597,1.0629159977179234,0.6545848832545609,0.6327946355941723
25,sigmoid,"Sigmoid (steep=0.01, mid=150)","{'steepness': 0.01, 'midpoint': 150}",0.43657898361107284,0.4890710382513661,1.093196719952613,1.0644690407119555,0.6557364215533764,0.6337357235053996
10,sigmoid,"Sigmoid (steep=0.01, mid=150)","{'steepness': 0.01, 'midpoint': 150}",0.4438782536840656,0.4890710382513661,1.0844765005442145,1.058161296831594,0.6509675458223904,0.6304975358278212
10,polynomial,Polynomial (power=1.5),{'power': 1.5},0.4429141991461231,0.4890710382513661,1.085088685037414,1.058590851351616,0.6512399050659923,0.6305925899001505
25,linear,Linear (max_diff=300),{'max_diff': 300},0.4353394849194326,0.4890710382513661,1.0943811044272054,1.0655703505231429,0.6564497991665711,0.6343276257674426
10,polynomial,Polynomial (power=2),{'power': 2},0.44470458614515906,0.488822652757079,1.0851437001182207,1.05852404769775,0.6512363965525028,0.6305166584839329
20,polynomial,Polynomial (power=2),{'power': 2},0.4383693706101088,0.488822652757079,1.091709632022323,1.063345839486391,0.6548214155592659,0.6329805690667415
10,sigmoid,"Sigmoid (steep=0.005, mid=200)","{'steepness': 0.005, 'midpoint': 200}",0.444842308222008,0.48857426726279185,1.0842323207347344,1.0579801397747417,0.6508552640368498,0.6304525973754173
30,polynomial,Polynomial (power=1.5),{'power': 1.5},0.43368681999724557,0.4880774962742176,1.098474409469688,1.0690371409008153,0.6590332374959318,0.6364767622573053
10,linear,Linear (max_diff=400),{'max_diff': 400},0.4434650874535188,0.4880774962742176,1.084969573034338,1.058411583201591,0.6511704022147521,0.6305065734269876
30,linear,Linear (max_diff=300),{'max_diff': 300},0.4325850433824542,0.48758072528564333,1.0978244609580892,1.0682520187398825,0.6586266330041701,0.6360883783490241
30,polynomial,Polynomial (power=2),{'power': 2},0.43409998622779233,0.4873323397913562,1.0988796971190153,1.0692657599221973,0.6593429653634132,0.6367998553425696
10,linear,Linear (max_diff=500),{'max_diff': 500},0.4438782536840656,0.4873323397913562,1.0849920753007767,1.058385560837538,0.6511700818775975,0.6304799427270498
10,sigmoid,"Sigmoid (steep=0.01, mid=200)","{'steepness': 0.01, 'midpoint': 200}",0.44374053160721666,0.4870839542970691,1.0846947788066112,1.0582336583116343,0.6510429571749281,0.6304630026108301
25,sigmoid,"Sigmoid (steep=0.005, mid=200)","{'steepness': 0.005, 'midpoint': 200}",0.43781848230271314,0.4868355688027819,1.092605884036459,1.0639376184060336,0.6553911461894851,0.6335145823787969
25,polynomial,Polynomial (power=2),{'power': 2},0.4353394849194326,0.4868355688027819,1.095255164811986,1.0662790076298971,0.6570187752007547,0.6348364577030273
25,linear,Linear (max_diff=400),{'max_diff': 400},0.43575265114997935,0.48633879781420764,1.09458327228735,1.0655784554914676,0.6565943769286092,0.6344513173424738
25,sigmoid,"Sigmoid (steep=0.01, mid=200)","{'steepness': 0.01, 'midpoint': 200}",0.4361658173805261,0.4858420268256334,1.0939198239038248,1.0650441852665318,0.6561940215555527,0.6341501811445059
30,linear,Linear (max_diff=500),{'max_diff': 500},0.4338245420740945,0.4853452558370591,1.0981995528231785,1.068436145463273,0.6589265161124773,0.6364400992959617
10,exponential,Exponential,{},0.44318964329982097,0.4853452558370591,1.0847593927092092,1.0586659714657998,0.6512115243833447,0.6308808328622939
30,sigmoid,"Sigmoid (steep=0.01, mid=200)","{'steepness': 0.01, 'midpoint': 200}",0.43217187715190747,0.4853452558370591,1.097256181629117,1.067683186570087,0.6583148384680886,0.6359115344852811
25,linear,Linear (max_diff=500),{'max_diff': 500},0.43451315245833905,0.485096870342772,1.0947245797269474,1.0656374286468784,0.6566959160296082,0.634558391428527
30,linear,Linear (max_diff=400),{'max_diff': 400},0.43299820961300095,0.485096870342772,1.0980392929365526,1.0683060082218037,0.6588003182910669,0.6362728820561706
10,sqrt,Square Root,{},0.4412615342239361,0.48484848484848486,1.0840450991578414,1.0586890226639067,0.6511073431675155,0.6314412803834148
30,sigmoid,"Sigmoid (steep=0.01, mid=150)","{'steepness': 0.01, 'midpoint': 150}",0.43423770830464126,0.48484848484848486,1.0963858696483015,1.0669587006685837,0.6577395952813496,0.635376740459664
20,fixed,Fixed,{},0.4391957030712023,0.48484848484848486,1.0917708008551408,1.0632875339359282,0.6549032526662639,0.6332184025758305
25,polynomial,Polynomial (power=3),{'power': 3},0.43506404076573474,0.4843517138599106,1.0954347854145081,1.0663141278823842,0.6571697108833656,0.6350464346010989
30,sigmoid,"Sigmoid (steep=0.005, mid=200)","{'steepness': 0.005, 'midpoint': 200}",0.4343754303814902,0.48360655737704916,1.0956673340421934,1.0663515430880146,0.6573146555490486,0.6351253607880845
30,fixed,Fixed,{},0.4347885966120369,0.48335817188276203,1.099024878655186,1.0693372499864724,0.6595582669314267,0.6373396480066041
25,fixed,Fixed,{},0.4360280953036772,0.4828614008941878,1.0953948958348132,1.0662026264786324,0.6571840418156636,0.6351881327702934
30,polynomial,Polynomial (power=3),{'power': 3},0.43561492907313043,0.48261301539990065,1.0990982803177018,1.069448422316566,0.6595426290809429,0.6371352727810154
10,upset_multiplier,Upset Multiplier (x1.5),{'upset_mult': 1.5},0.4386448147638066,0.4696969696969697,1.0805712965502747,1.0596188196244427,0.6499932593964691,0.6352808341933195
15,upset_multiplier,Upset Multiplier (x1.5),{'upset_mult': 1.5},0.43561492907313043,0.4674615002483855,1.0826149410586399,1.0610290794378014,0.6511644262517758,0.6360172790587616
20,upset_multiplier,Upset Multiplier (x1.5),{'upset_mult': 1.5},0.43203415507505855,0.46696472925981125,1.0854319371359054,1.0621996214188136,0.6529217502612905,0.6366161129244904
25,upset_multiplier,Upset Multiplier (x1.5),{'upset_mult': 1.5},0.4276270486158931,0.4654744162940884,1.0885754630818532,1.0636391877810452,0.6548732316764196,0.6374350447265137
30,upset_multiplier,Upset Multiplier (x1.5),{'upset_mult': 1.5},0.42680071615479964,0.46199701937406856,1.0917358897324176,1.0659827261179726,0.6569418235475264,0.6389966143594943
10,upset_multiplier,Upset Multiplier (x2),{'upset_mult': 2.0},0.4361658173805261,0.455290611028316,1.0819857571162297,1.063507152971822,0.6513749489157166,0.6389607294468833
25,upset_multiplier,Upset Multiplier (x2),{'upset_mult': 2.0},0.41839966946701557,0.4542970690511674,1.0915637791583288,1.0682282249017665,0.6574362538333518,0.6419766430503923
10,upset_multiplier,Upset Multiplier (x2.5),{'upset_mult': 2.5},0.43148326676766285,0.45305514157973176,1.0835501237255698,1.0648833849610584,0.652576877838939,0.640338489978166
30,upset_multiplier,Upset Multiplier (x2),{'upset_mult': 2.0},0.4164715603911307,0.45106805762543467,1.0955408603864505,1.070494769157408,0.6600998234313233,0.643393705717904
15,upset_multiplier,Upset Multiplier (x2),{'upset_mult': 2.0},0.43051921222972045,0.45081967213114754,1.0845803061989503,1.0644043189192232,0.6530301852024311,0.6394412292329362
20,upset_multiplier,Upset Multiplier (x2),{'upset_mult': 2.0},0.42101638892714505,0.449826130153999,1.088205596898732,1.0655430162220074,0.6553473118476877,0.6403592005928991
10,upset_multiplier,Upset Multiplier (x3),{'upset_mult': 3.0},0.42845338107698666,0.44808743169398907,1.0850558081715589,1.0667844559555129,0.6535930782171092,0.641783062941351
20,upset_multiplier,Upset Multiplier (x2.5),{'upset_mult': 2.5},0.41977689023550474,0.4475906607054148,1.0914872596519,1.0694549942190128,0.6576572044981744,0.6433266182308267
20,upset_multiplier,Upset Multiplier (x3),{'upset_mult': 3.0},0.41771105908277095,0.4473422752111277,1.0944787521762924,1.0718223109400953,0.6599313708627552,0.6453330914400393
15,upset_multiplier,Upset Multiplier (x2.5),{'upset_mult': 2.5},0.4254234953863104,0.4473422752111277,1.0870869678487183,1.0666342572325547,0.6548551512250051,0.6414835207928794
25,upset_multiplier,Upset Multiplier (x3),{'upset_mult': 3.0},0.4122021760088142,0.446100347739692,1.1014409493393633,1.0769813778797053,0.6645472656087844,0.6485056556895339
30,upset_multiplier,Upset Multiplier (x3),{'upset_mult': 3.0},0.4086214020107423,0.44411326378539495,1.1084553716866405,1.0797703334394468,0.669108647185082,0.6506493980387024
15,upset_multiplier,Upset Multiplier (x3),{'upset_mult': 3.0},0.41826194739016664,0.44411326378539495,1.0900679235694306,1.0697121093384054,0.656946553570789,0.6440732327480488
25,upset_multiplier,Upset Multiplier (x2.5),{'upset_mult': 2.5},0.41523206169949045,0.44287133631395925,1.0961162904073722,1.07230203040078,0.6607295607206048,0.6449707748221086
30,upset_multiplier,Upset Multiplier (x2.5),{'upset_mult': 2.5},0.40944773447183586,0.44063586686537504,1.1008884919265858,1.0756657482022136,0.6638592101830114,0.6475423271332883
