k_factor,home_advantage,train_accuracy,train_brier,train_logloss,test_accuracy,test_brier,test_logloss
15,30,0.4420878666850296,0.6528091208579515,1.0880402743231046,0.49080973671137607,0.631152929559042,1.059945579265988
15,31,0.44236331083872743,0.6528089737490473,1.0880945749220081,0.4913065076999503,0.6312333235887544,1.0600938668367026
15,32,0.4407106459165404,0.6528174732412891,1.0881620522845892,0.4903129657228018,0.631316778084389,1.0602439650358346
15,33,0.44084836799338933,0.6528326491278745,1.0882385697480936,0.49230004967709884,0.6314051691084668,1.0603997824561653
15,34,0.4427764770692742,0.6528563272436864,1.0883279364112133,0.4932935916542474,0.631500439725666,1.0605654122685197
15,35,0.4434650874535188,0.6528859195445296,1.0884248099891731,0.49254843517138597,0.6316017563082197,1.0607391440065896
15,36,0.44401597576091445,0.6529213303276132,1.0885290020400533,0.49279682066567315,0.6317105262813926,1.0609239148857434
15,37,0.44456686406831014,0.6529624644577372,1.0886403232890636,0.4920516641828117,0.6318273091882705,1.0611209034106919
15,38,0.44511775237570583,0.6530132633702259,1.0887670076110987,0.49080973671137607,0.6319546382495254,1.061335374962208
15,39,0.4442914199146123,0.6530749520786407,1.088911619431992,0.4913065076999503,0.6320905992647974,1.0615633363860033
15,40,0.4441536978377634,0.6531445848193296,1.0890680043941194,0.4903129657228018,0.6322345128907754,1.061803383754346
15,41,0.4438782536840656,0.6532216673050203,1.0892351279839068,0.48931942374565324,0.632384398094118,1.0620513836300154
15,42,0.4429141991461231,0.6533048670882898,1.0894102159591177,0.488822652757079,0.6325399681912676,1.0623067214761353
15,43,0.44167470045448287,0.6533962634387082,1.0895975776681506,0.48857426726279185,0.6327049815171315,1.0625772248341223
15,44,0.44153697837763395,0.6534972850882981,1.0898001706156164,0.4890710382513661,0.632875014973452,1.0628536960446962
15,45,0.4412615342239361,0.6536084006217963,1.0900189760430072,0.48857426726279185,0.6330534634224728,1.0631432322848575
15,46,0.4411238121470872,0.6537288986115639,1.0902525110283803,0.48857426726279185,0.633238278177876,1.0634415791779954
15,47,0.44029747968599364,0.6538559989798352,1.0904949835410516,0.48857426726279185,0.6334274108006561,1.0637444777532148
15,48,0.44098609007023826,0.653992818705009,1.090752884029447,0.4880774962742176,0.6336231482926598,1.0640567060934554
15,49,0.44098609007023826,0.6541376127609089,1.0910225979662393,0.4883258817685047,0.633824073336331,1.0643753298934653
15,50,0.43988431345544693,0.6542891821544983,1.0913016315698743,0.4873323397913562,0.6340332945682343,1.0647068416515084
16,30,0.44153697837763395,0.6532068363780311,1.088739102789863,0.4918032786885246,0.6314682564348989,1.0604726200990386
16,31,0.44153697837763395,0.6532073860179468,1.0887945822198726,0.4910581222056632,0.6315496310581455,1.0606229014438968
16,32,0.4411238121470872,0.6532132813984085,1.0888563473694992,0.4910581222056632,0.6316354590591468,1.0607779168978064
16,33,0.4422255887618785,0.653224991280789,1.0889253749526882,0.4918032786885246,0.6317268961624374,1.0609400876684507
16,34,0.4411238121470872,0.6532439820762589,1.0890047269303715,0.4918032786885246,0.6318218946932992,1.0611051747169538
16,35,0.44084836799338933,0.6532721972707856,1.089098435627358,0.4930452061599603,0.6319211237979815,1.06127458650673
16,36,0.44236331083872743,0.6533071416874034,1.089201301999453,0.4920516641828117,0.6320277142654063,1.0614548601791887
16,37,0.4426387549924253,0.6533485397366617,1.089312783889052,0.4920516641828117,0.632139872821868,1.0616422638682537
16,38,0.4438782536840656,0.6533988106562084,1.0894379460828032,0.49155489319423745,0.6322647470793065,1.0618516947568262
16,39,0.4434650874535188,0.6534608513481808,1.0895828460756103,0.49080973671137607,0.6324011502844832,1.0620806824777427
16,40,0.4442914199146123,0.6535301407258266,1.0897380579474438,0.4898161947342275,0.6325463969188597,1.0623236319363065
16,41,0.4444291419914612,0.6536071693478672,1.0899046180183989,0.4903129657228018,0.6327005198554564,1.0625806056395637
16,42,0.44305192122297204,0.6536932906909301,1.0900853516022755,0.4898161947342275,0.6328609323087637,1.0628462211615362
16,43,0.4422255887618785,0.6537867877624995,1.0902766583535604,0.4890710382513661,0.6330247612725122,1.063114491490237
16,44,0.4412615342239361,0.6538862914957966,1.0904756727577738,0.4883258817685047,0.6331937759055558,1.063389103961843
16,45,0.4407106459165404,0.6539901490219571,1.0906789324287065,0.48758072528564333,0.6333698888173027,1.0636740384258538
16,46,0.44084836799338933,0.6541018081151705,1.0908936138940157,0.48857426726279185,0.6335504031655476,1.063963683574157
16,47,0.44098609007023826,0.6542200700869278,1.0911172389834947,0.48782911077993046,0.633738034419573,1.064263729134704
16,48,0.44098609007023826,0.6543492814379663,1.0913588793795124,0.4883258817685047,0.6339301264306034,1.0645686513961814
16,49,0.4407106459165404,0.6544859126152897,1.0916111879996289,0.4880774962742176,0.6341304504405877,1.0648863306506764
16,50,0.4405729238396915,0.6546322623068253,1.091878954907005,0.4880774962742176,0.6343382371393527,1.0652151850416158
17,30,0.4405729238396915,0.6536084353343626,1.0894269964688614,0.49056135121708894,0.631789685506787,1.060987938195498
17,31,0.441399256300785,0.6536063740203335,1.08947680179418,0.49056135121708894,0.6318719307153204,1.061140035521555
17,32,0.4420878666850296,0.653610732089282,1.089535140577904,0.4903129657228018,0.6319602192170265,1.0613001751903306
17,33,0.4401597576091447,0.653625015441589,1.089609318760427,0.49155489319423745,0.6320548404693442,1.0614689666397046
17,34,0.44029747968599364,0.6536458761939816,1.0896923285917346,0.4903129657228018,0.6321541422105694,1.0616429963825087
17,35,0.4407106459165404,0.6536735784247787,1.0897847174792188,0.49155489319423745,0.6322584636148602,1.0618229770643035
17,36,0.4418124225313318,0.6537088428794187,1.0898880014325047,0.4920516641828117,0.6323675561482762,1.0620084238266356
17,37,0.441399256300785,0.6537527152511932,1.090004374468934,0.4918032786885246,0.6324801243615236,1.062196656746826
17,38,0.44167470045448287,0.653802753871148,1.0901287529891817,0.49230004967709884,0.632605552791742,1.062407236118038
17,39,0.44250103291557635,0.6538620000241446,1.0902674868886137,0.49230004967709884,0.6327421251795733,1.0626366093814785
17,40,0.44305192122297204,0.6539296457370704,1.0904189218850575,0.4918032786885246,0.6328851237374956,1.0628749561241224
17,41,0.4426387549924253,0.6540055789064514,1.090582841186346,0.4903129657228018,0.6330341845325971,1.0631215182065648
17,42,0.4418124225313318,0.6540908464557144,1.090761412538159,0.48956780923994037,0.6331906535915649,1.0633790873042588
17,43,0.441399256300785,0.6541837893315443,1.0909511619001655,0.4880774962742176,0.6333552327472587,1.0636491206761918
17,44,0.4412615342239361,0.6542839047131306,1.0911510349940825,0.48758072528564333,0.6335250162741386,1.0639255452577254
17,45,0.4412615342239361,0.6543900681256138,1.091358701057831,0.48857426726279185,0.6336982874588096,1.0642047851872327
17,46,0.4401597576091447,0.6545001128698884,1.0915696519024365,0.48857426726279185,0.6338777461873943,1.0644925027243348
17,47,0.44084836799338933,0.6546165346826133,1.0917890712752374,0.4868355688027819,0.6340643505085858,1.0647907009840911
17,48,0.4411238121470872,0.654739176882575,1.0920166510690146,0.48758072528564333,0.634257043547685,1.0650971738858444
17,49,0.44098609007023826,0.65487031164342,1.092257142177031,0.48782911077993046,0.6344569982742428,1.065414389974162
17,50,0.4407106459165404,0.6550128937821722,1.092516704740884,0.4880774962742176,0.6346622892436353,1.0657383689796083
18,30,0.439746591378598,0.6540250671659464,1.090129446766497,0.48782911077993046,0.632126914200898,1.061515800205727
18,31,0.4405729238396915,0.6540176579275143,1.0901679522060463,0.4890710382513661,0.6322093547974016,1.0616682939403612
18,32,0.4407106459165404,0.6540195255782473,1.0902209315626212,0.49080973671137607,0.6322998439879471,1.0618329891531677
18,33,0.44029747968599364,0.6540321400217123,1.0902914542673026,0.4900645802285147,0.6323945128012832,1.0620018651123135
18,34,0.44043520176284257,0.6540553434931462,1.0903791817983894,0.49056135121708894,0.6324964990194528,1.0621814703051307
18,35,0.44029747968599364,0.6540851571478055,1.0904758185989893,0.4910581222056632,0.6326036017761087,1.0623672424043353
18,36,0.44043520176284257,0.6541219960980437,1.090582224457112,0.4918032786885246,0.6327175993077968,1.0625629091313178
18,37,0.4401597576091447,0.6541642231500508,1.0906949929406733,0.49056135121708894,0.6328369063461741,1.0627651865055345
18,38,0.43988431345544693,0.6542145686445029,1.0908198111156593,0.4918032786885246,0.6329632847724024,1.0629777453679037
18,39,0.44002203553229585,0.6542727685386589,1.0909561234382896,0.4920516641828117,0.633097446437133,1.0632021023254021
18,40,0.4411238121470872,0.6543403555406622,1.0911071420401328,0.4913065076999503,0.6332373152901664,1.0634339532554837
18,41,0.44167470045448287,0.6544158203819256,1.0912697510315605,0.4903129657228018,0.6333840089198334,1.0636756232199018
18,42,0.441399256300785,0.6544988359136019,1.0914432869503483,0.4890710382513661,0.6335346844787549,1.0639211909223782
18,43,0.44029747968599364,0.654587693268868,1.091624188193757,0.4890710382513661,0.633692495028943,1.0641772185260125
18,44,0.44098609007023826,0.6546850446519294,1.091817967310908,0.4883258817685047,0.6338593147930633,1.0644476120714077
18,45,0.4407106459165404,0.6547926935044409,1.0920283862828333,0.4880774962742176,0.6340339839635637,1.0647299519739655
18,46,0.44153697837763395,0.6549079941095298,1.0922499449473237,0.4880774962742176,0.6342165046911703,1.0650242531588612
18,47,0.44098609007023826,0.6550274216251836,1.0924753187528045,0.4883258817685047,0.634403560742328,1.0653236303021913
18,48,0.4401597576091447,0.655152023864484,1.092706692477738,0.4883258817685047,0.634596550999586,1.0656310171932037
18,49,0.4407106459165404,0.6552822260280262,1.0929449435712504,0.4880774962742176,0.6347982023176787,1.0659521112130579
18,50,0.44043520176284257,0.6554185866188993,1.0931912471992742,0.4873323397913562,0.6350076346010004,1.0662850906010886
19,30,0.4375430381490153,0.6544501900733453,1.0908347078364078,0.4870839542970691,0.6324858541270275,1.062071678049869
19,31,0.43878253684065555,0.6544432784755997,1.09087417360788,0.4873323397913562,0.6325684701330095,1.0622246361456789
19,32,0.44002203553229585,0.6544443054053135,1.0909252874308362,0.4880774962742176,0.6326580387047162,1.0623874859215516
19,33,0.44043520176284257,0.6544529836394838,1.0909874794617491,0.48857426726279185,0.6327528620578381,1.0625567069844504
19,34,0.4405729238396915,0.6544726198309117,1.0910676540380049,0.4883258817685047,0.6328517337036561,1.062729822364188
19,35,0.43988431345544693,0.6545022201230176,1.0911637394915947,0.488822652757079,0.6329583395411373,1.062914526763676
19,36,0.43947114722490016,0.6545394655794444,1.0912708914736653,0.4900645802285147,0.6330720233436493,1.0631094822136609
19,37,0.43892025891750447,0.6545838445717403,1.0913880346616918,0.4903129657228018,0.6331920501305307,1.0633132002162116
19,38,0.43878253684065555,0.6546337432208182,1.0915117909797005,0.49155489319423745,0.6333193070778401,1.0635275452734998
19,39,0.43933342514805124,0.6546892328504148,1.091642305322823,0.4913065076999503,0.6334544159178985,1.0637538536773152
19,40,0.43892025891750447,0.6547537820161875,1.0917868149821457,0.49080973671137607,0.6335960431635097,1.0639893584034712
19,41,0.43933342514805124,0.654829044692535,1.091948769751919,0.49080973671137607,0.6337426435439326,1.0642308406708343
19,42,0.4405729238396915,0.6549125831861103,1.0921231148985524,0.4903129657228018,0.633893446691699,1.064476709075902
19,43,0.4405729238396915,0.65500273497371,1.0923064143269614,0.4898161947342275,0.6340490767300978,1.0647282681386816
19,44,0.4401597576091447,0.6551032389932592,1.0925064670894087,0.4890710382513661,0.6342102809193852,1.0649870858052652
19,45,0.44153697837763395,0.6552097200150869,1.0927141645843488,0.488822652757079,0.6343806500825263,1.065260644266497
19,46,0.4419501446081807,0.6553223251400773,1.0929298451422227,0.4883258817685047,0.6345609069816163,1.0655504509612805
19,47,0.44167470045448287,0.6554417629352194,1.0931549973481787,0.4880774962742176,0.6347515556141494,1.0658575548781657
19,48,0.44084836799338933,0.6555700496398045,1.093393823257641,0.4890710382513661,0.6349484079315855,1.0661732473771492
19,49,0.44029747968599364,0.6557034947586782,1.093638630716746,0.488822652757079,0.6351499183417441,1.066494342002198
19,50,0.4396088693017491,0.6558411546107253,1.0938874481912115,0.48782911077993046,0.6353565516710044,1.0668218283816597
20,30,0.4383693706101088,0.6548880394319144,1.0915530913114566,0.485096870342772,0.6328646647753633,1.0626543641756776
20,31,0.4371298719184685,0.6548786302210847,1.0915873536411604,0.4853452558370591,0.6329426540769777,1.062797781061661
20,32,0.4383693706101088,0.6548779364137823,1.0916348517526977,0.48633879781420764,0.6330269289887314,1.0629496834983043
20,33,0.43892025891750447,0.6548869273704727,1.0916976243049663,0.48658718330849476,0.6331196553961616,1.0631146172519177
20,34,0.4391957030712023,0.6549032526662639,1.0917708008551408,0.48484848484848486,0.6332184025758305,1.0632875339359282
20,35,0.43933342514805124,0.6549297072447898,1.0918602168995204,0.48658718330849476,0.6333256414793084,1.0634735671346405
20,36,0.43933342514805124,0.6549644238542276,1.0919619942060852,0.4880774962742176,0.6334400779176382,1.0636700663844105
20,37,0.43933342514805124,0.6550065980032771,1.092074454490407,0.4883258817685047,0.6335598006816915,1.063873092309096
20,38,0.4386448147638066,0.6550560371232534,1.0921971890578852,0.48931942374565324,0.6336840479252758,1.0640810926115785
20,39,0.4376807602258642,0.6551133003967525,1.092331347668876,0.4910581222056632,0.6338150699742545,1.0642987982414274
20,40,0.4368544277647707,0.6551781257936987,1.092476367184278,0.49080973671137607,0.6339545470592735,1.0645297529653472
20,41,0.43781848230271314,0.6552516319769623,1.0926345699431899,0.4913065076999503,0.6341013556672825,1.0647716339360669
20,42,0.4383693706101088,0.655334076334269,1.0928065057080438,0.4913065076999503,0.6342540700444684,1.0650214999926735
20,43,0.43988431345544693,0.6554267579027768,1.0929949093121238,0.4913065076999503,0.634412023286808,1.0652779712833926
20,44,0.4401597576091447,0.6555262853226292,1.0931927472781828,0.49080973671137607,0.6345737988764685,1.0655381127523926
20,45,0.4401597576091447,0.655632124892214,1.0933989244005147,0.4898161947342275,0.6347446556738267,1.0658128819695978
20,46,0.441399256300785,0.6557455400930949,1.093616090494425,0.4890710382513661,0.6349228097042728,1.0660985530110771
20,47,0.44098609007023826,0.6558652433486999,1.0938415862968085,0.4880774962742176,0.6351098997367124,1.0663985347982732
20,48,0.4412615342239361,0.6559922025420415,1.0940774383301526,0.48857426726279185,0.6353036882363461,1.066708161208263
20,49,0.44153697837763395,0.6561267787025207,1.09432440995555,0.4880774962742176,0.6355022436265324,1.067023426545201
20,50,0.4405729238396915,0.6562666153242472,1.0945775957574315,0.4883258817685047,0.635707005368585,1.0673473431245586
21,30,0.4376807602258642,0.6553369579509347,1.0922824773964508,0.48360655737704916,0.6332495418400669,1.063237069384094
21,31,0.43781848230271314,0.6553250528020768,1.0923115385675914,0.48460009935419773,0.6333273696671728,1.0633802595202466
21,32,0.4368544277647707,0.6553234958130085,1.0923572507247936,0.4843517138599106,0.6334119178765106,1.0635328468481742
21,33,0.4371298719184685,0.6553299394463479,1.092414705033744,0.4843517138599106,0.633501116361928,1.063690520581229
21,34,0.438093926456411,0.6553446392066054,1.0924844538195513,0.4838549428713363,0.6335965793457093,1.063856654952059
21,35,0.43795620437956206,0.655366316387281,1.0925638580007009,0.4843517138599106,0.6337012957384505,1.064037482102927
21,36,0.4390579809943534,0.6554001141037968,1.0926636412610795,0.48658718330849476,0.6338129562550638,1.0642282265221168
21,37,0.43947114722490016,0.6554419670205256,1.092775349890144,0.48758072528564333,0.6339320304149668,1.0644299302815161
21,38,0.4391957030712023,0.6554909469724176,1.0928970559963147,0.48758072528564333,0.6340564811815712,1.0646383857274997
21,39,0.43878253684065555,0.6555476389187197,1.0930299800352428,0.4890710382513661,0.6341877329864508,1.0648565735352407
21,40,0.4371298719184685,0.6556107335804,1.0931713799791272,0.4903129657228018,0.634324759173864,1.06508239835929
21,41,0.43726759399531745,0.6556823731335125,1.0933256917558496,0.4913065076999503,0.6344684943162571,1.065317864075993
21,42,0.4375430381490153,0.6557643885627421,1.0934967413417962,0.4920516641828117,0.6346187934433387,1.0655627106574697
21,43,0.4374053160721664,0.6558555304688726,1.0936819377005456,0.4920516641828117,0.6347767130842622,1.0658191712925773
21,44,0.4385070926869577,0.6559547270304612,1.093879055005981,0.49254843517138597,0.6349423339801639,1.066087433073822
21,45,0.4401597576091447,0.656058168630083,1.094080178375663,0.4898161947342275,0.6351149604079406,1.066366055632304
21,46,0.43988431345544693,0.6561711546793062,1.0942963879375578,0.488822652757079,0.6352928348331408,1.0666513446453574
21,47,0.43933342514805124,0.656290878515771,1.0945218423744996,0.4883258817685047,0.6354742350029123,1.0669397074896931
21,48,0.44029747968599364,0.6564185282259363,1.0947590229348279,0.4880774962742176,0.635661625070264,1.067236271187136
21,49,0.43988431345544693,0.6565534037851448,1.0950064933236268,0.48857426726279185,0.6358590322352476,1.0675494249940483
21,50,0.4405729238396915,0.6566919655548964,1.0952568872769428,0.4880774962742176,0.636064235731918,1.0678745661631264
22,30,0.43671670568792176,0.6557886675969105,1.0930068573526999,0.48335817188276203,0.6336376183562207,1.0638155291167457
22,31,0.4369921498416196,0.655779949469632,1.0930425627186267,0.48335817188276203,0.6337139357100816,1.0639556613292702
22,32,0.43657898361107284,0.655778107074293,1.0930876818777726,0.4831097863884749,0.6337985753986941,1.0641085371889998
22,33,0.4364412615342239,0.6557843475892894,1.0931447230780074,0.48261301539990065,0.6338899876491546,1.064270924831875
22,34,0.4369921498416196,0.6557985018951756,1.0932133333898446,0.48360655737704916,0.6339858015700274,1.0644378841572988
22,35,0.4374053160721664,0.6558175345900152,1.0932872039858903,0.4843517138599106,0.63408563008769,1.064608638682972
22,36,0.4386448147638066,0.6558449442771473,1.093373651144272,0.48460009935419773,0.6341944667006,1.0647936264305016
22,37,0.43878253684065555,0.6558838163767683,1.093479124627691,0.48633879781420764,0.6343119699758949,1.0649921730047798
22,38,0.43823164853325985,0.6559319888331736,1.0935991301370929,0.4860904123199205,0.6344369798928499,1.0652019068316896
22,39,0.438093926456411,0.6559877249664348,1.0937300428311247,0.48658718330849476,0.6345671127165589,1.0654178718229996
22,40,0.4376807602258642,0.6560512399026537,1.0938723019133665,0.4898161947342275,0.6347037584680592,1.0656429845670077
22,41,0.43781848230271314,0.6561232217915878,1.0940273410869612,0.4903129657228018,0.6348444648401147,1.0658722129293046
22,42,0.438093926456411,0.6562026633130286,1.0941930627880108,0.49155489319423745,0.6349929135148887,1.066113279375247
22,43,0.43781848230271314,0.656292122525089,1.0943748051920406,0.4913065076999503,0.6351499411884469,1.0663679657552296
22,44,0.438093926456411,0.656387444492684,1.094563918920845,0.4913065076999503,0.6353135930367731,1.0666322094697354
22,45,0.43781848230271314,0.6564905897677794,1.0947644941546895,0.4910581222056632,0.6354834253944941,1.0669050988931301
22,46,0.43933342514805124,0.6566006781434289,1.094974699473102,0.49056135121708894,0.6356614365198285,1.0671908107963004
22,47,0.43933342514805124,0.6567192459922523,1.0951977716154215,0.4890710382513661,0.6358452528564363,1.067484399738325
22,48,0.43933342514805124,0.6568467317624718,1.0954346411463916,0.4873323397913562,0.6360343114110644,1.0677846686969148
22,49,0.439746591378598,0.6569788163519366,1.095676318925958,0.48782911077993046,0.636229150087295,1.068092727542863
22,50,0.4386448147638066,0.6571180560600167,1.0959281443611153,0.48758072528564333,0.6364300510172658,1.068409179592151
23,30,0.43506404076573474,0.6562503869172202,1.0937422854110275,0.4823646299056135,0.6340401849128118,1.0644148486899958
23,31,0.4361658173805261,0.6562419520604071,1.0937785941560234,0.48261301539990065,0.6341103616242054,1.0645422177530652
23,32,0.43657898361107284,0.656240015645119,1.0938235291622913,0.48335817188276203,0.6341898247765636,1.0646843444111354
23,33,0.4358903732268283,0.6562444354538355,1.0938768053497099,0.4841033283656234,0.634278273282277,1.064840630296055
23,34,0.43630353945737504,0.656254705089078,1.0939373626986606,0.4831097863884749,0.634376982446013,1.0650137603075356
23,35,0.4364412615342239,0.6562748806899544,1.0940136511365317,0.48360655737704916,0.6344787934374037,1.0651888085170151
23,36,0.43726759399531745,0.6563005195561996,1.094096422767102,0.48484848484848486,0.634588680638774,1.0653761561775636
23,37,0.4385070926869577,0.656335219170033,1.0941931998784038,0.4853452558370591,0.6347030518313099,1.0655683561660063
23,38,0.4386448147638066,0.656380901255423,1.0943080194568058,0.48633879781420764,0.6348212497953405,1.065764075912049
23,39,0.43781848230271314,0.656434479940438,1.0944344563301243,0.4860904123199205,0.6349485517517751,1.065974344783345
23,40,0.43892025891750447,0.6564948748722197,1.0945702467937415,0.4868355688027819,0.6350834055992561,1.0661959452145664
23,41,0.43795620437956206,0.6565640571703932,1.0947195076512553,0.48758072528564333,0.6352256575581174,1.0664285818248782
23,42,0.43823164853325985,0.6566434270558664,1.0948851497999277,0.4890710382513661,0.6353749813366811,1.0666716092972826
23,43,0.43781848230271314,0.6567328870508056,1.0950669726470286,0.48956780923994037,0.6355325640842532,1.0669275520623542
23,44,0.43823164853325985,0.6568283291918322,1.0952564277689523,0.4903129657228018,0.6356954809731528,1.067190357350122
23,45,0.43795620437956206,0.6569309764397773,1.0954560707276553,0.49155489319423745,0.635865957890631,1.067464692602971
23,46,0.43795620437956206,0.6570388071359066,1.0956616950057858,0.49056135121708894,0.636041038527565,1.0677444286155786
23,47,0.43878253684065555,0.6571557601278,1.0958815127132637,0.4890710382513661,0.6362224320496573,1.0680331240589256
23,48,0.4391957030712023,0.6572796914988926,1.0961110770460922,0.48857426726279185,0.6364080483621236,1.068326408141822
23,49,0.43795620437956206,0.6574078548725535,1.0963446848056482,0.48782911077993046,0.6366030891864687,1.0686351177557707
23,50,0.4376807602258642,0.6575422947053153,1.0965865896590175,0.4868355688027819,0.6368047904425478,1.0689534911653262
24,30,0.43354909792039664,0.6567161787280467,1.0944772325202294,0.48261301539990065,0.6344519627117852,1.0650252370474258
24,31,0.43451315245833905,0.6567086454193675,1.0945154803656458,0.4828614008941878,0.6345235611184814,1.0651556395595807
24,32,0.43575265114997935,0.656707297210701,1.094561676661021,0.4831097863884749,0.6346012051758563,1.0652940734145684
24,33,0.4369921498416196,0.6567096729122806,1.0946107256636497,0.4831097863884749,0.6346860212892481,1.0654429058893278
24,34,0.43657898361107284,0.6567187277047906,1.0946688057596141,0.4831097863884749,0.6347765359210359,1.0655990815165926
24,35,0.4360280953036772,0.6567351287188542,1.0947373028727028,0.4843517138599106,0.6348751038245717,1.0657675138675788
24,36,0.43671670568792176,0.6567587457803845,1.0948159391395549,0.4838549428713363,0.6349827183783474,1.0659503085373454
24,37,0.4374053160721664,0.6567918862288654,1.094909545177968,0.48484848484848486,0.6350962497401734,1.0661409586543515
24,38,0.4374053160721664,0.6568354970419504,1.0950201106644224,0.48460009935419773,0.6352118060738428,1.066331384713741
24,39,0.4376807602258642,0.6568871811766361,1.0951426482916766,0.4858420268256334,0.6353357444102048,1.0665348559728478
24,40,0.43795620437956206,0.656944581655779,1.0952722582634198,0.48658718330849476,0.6354728230438477,1.0667613168777388
24,41,0.4383693706101088,0.6570115905322895,1.0954170502719112,0.48633879781420764,0.6356192685040434,1.0670029365495608
24,42,0.43878253684065555,0.6570888979386651,1.095578481430689,0.4860904123199205,0.6357693458488892,1.0672477765772652
24,43,0.43823164853325985,0.6571752146484187,1.0957538839249128,0.48758072528564333,0.6359251319316125,1.0675001729100182
24,44,0.43795620437956206,0.6572700507934529,1.0959422275136843,0.48956780923994037,0.6360852541405766,1.0677573254028527
24,45,0.4368544277647707,0.6573725046051474,1.0961416288826924,0.48956780923994037,0.636251715415591,1.0680234631992922
24,46,0.43657898361107284,0.6574815605086964,1.0963499634500984,0.4900645802285147,0.6364237951194083,1.0682971032947506
24,47,0.4371298719184685,0.6575954750754627,1.0965635957573574,0.488822652757079,0.6366021508348317,1.0685796309268505
24,48,0.4374053160721664,0.6577173222900371,1.0967889461454203,0.4873323397913562,0.63679087022734,1.0688795540471967
24,49,0.4368544277647707,0.657844706595529,1.0970210402314227,0.4873323397913562,0.6369852221129944,1.069187012016279
24,50,0.43823164853325985,0.6579786388769934,1.0972619935801429,0.4873323397913562,0.6371869028613419,1.0695055547278707
25,30,0.43423770830464126,0.6571900137001017,1.0952206970603204,0.48261301539990065,0.6348754117728236,1.06565301405997
25,31,0.4332736537666988,0.6571782931535914,1.0952503394214608,0.4831097863884749,0.6349430102462856,1.0657751604091503
25,32,0.43423770830464126,0.6571733015559467,1.095289050761222,0.48261301539990065,0.6350171917221801,1.0659064877835407
25,33,0.4349263186888858,0.6571751638065986,1.0953371161074261,0.48360655737704916,0.635098906560437,1.066048987721077
25,34,0.4360280953036772,0.6571840418156636,1.0953948958348132,0.4828614008941878,0.6351881327702934,1.0662026264786324
25,35,0.43630353945737504,0.657200481009272,1.0954635408591114,0.48360655737704916,0.6352831284116038,1.0663637879616399
25,36,0.4358903732268283,0.6572234356123755,1.0955408852494275,0.4838549428713363,0.6353836227145561,1.066531930162552
25,37,0.4375430381490153,0.6572547650018159,1.0956308047390926,0.4838549428713363,0.635492823301612,1.0667137555095292
25,38,0.43726759399531745,0.6572945594703646,1.0957335157285648,0.48335817188276203,0.6356128915306093,1.0669137845701684
25,39,0.43823164853325985,0.6573437395168036,1.0958509436032664,0.485096870342772,0.6357431785910782,1.0671306759355237
25,40,0.43781848230271314,0.6573998680112112,1.0959780306978577,0.48658718330849476,0.6358794949959973,1.0673557503753015
25,41,0.43795620437956206,0.6574653581302837,1.0961198129722298,0.48658718330849476,0.6360223296006148,1.0675900755887051
25,42,0.4371298719184685,0.6575412539646566,1.0962784613040748,0.4858420268256334,0.6361695904635057,1.0678293002398374
25,43,0.4374053160721664,0.657624464296097,1.0964475325224625,0.48633879781420764,0.6363227290217189,1.0680764554649973
25,44,0.43781848230271314,0.6577152556088385,1.0966275943719457,0.4860904123199205,0.6364811219179907,1.0683302636891698
25,45,0.4364412615342239,0.65781543692598,1.0968224275984797,0.4870839542970691,0.6366449130788028,1.068591050388568
25,46,0.4361658173805261,0.657922830344099,1.0970274755002687,0.48782911077993046,0.6368133849209753,1.0688573575935265
25,47,0.4360280953036772,0.6580368390811541,1.0972414822403562,0.48782911077993046,0.6369915654681024,1.0691396897533545
25,48,0.4361658173805261,0.6581590097566438,1.0974676771291716,0.4880774962742176,0.6371802574435371,1.0694397397625663
25,49,0.43657898361107284,0.6582880365146451,1.0977033524478137,0.48758072528564333,0.6373770677322155,1.0697525469714704
25,50,0.4374053160721664,0.6584218712985428,1.097944263462201,0.48633879781420764,0.6375822305556313,1.0700786043075126
